City,Country,Cloudiness,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
Avarua,CK,100,1574479088,83,-21.21,-159.78,80.6,16.11
Puerto Ayora,EC,0,1574479089,85,-0.74,-90.35,69.01,1.99
Richards Bay,ZA,100,1574479093,93,-28.77,32.06,73.44,13.15
Talaya,RU,40,1574479094,77,55.79,84.89,6.8,17.9
Kropotkin,RU,0,1574479096,70,45.43,40.58,25.02,24.0
Mamlyutka,KZ,90,1574479098,85,54.94,68.54,17.6,6.71
Bethel,US,90,1574479099,85,60.79,-161.76,24.8,11.41
Anadyr,RU,0,1574479101,76,64.73,177.51,-9.0,4.47
Qaanaaq,GL,16,1574479102,60,77.48,-69.36,-3.69,9.06
Madanapalle,IN,6,1574479104,82,13.56,78.5,67.28,6.04
Port Hedland,AU,99,1574479106,26,-20.31,118.58,102.2,12.75
Port-Gentil,GA,66,1574479107,83,-0.72,8.78,78.64,8.05
Taoudenni,ML,0,1574479109,27,22.68,-3.98,59.81,2.8
Kamaishi,JP,75,1574479111,70,39.28,141.86,46.4,2.24
Tasiilaq,GL,13,1574479112,73,65.61,-37.64,26.6,2.24
Sandy Bay,AU,40,1574479114,57,-42.9,147.33,66.2,21.92
Mar del Plata,AR,12,1574479115,63,-46.43,-67.52,53.4,9.93
Scalea,IT,69,1574479117,84,39.82,15.79,46.0,3.0
Okha,RU,100,1574479119,97,53.59,142.95,34.72,25.86
Thompson,CA,90,1574479120,89,55.74,-97.86,32.0,10.29
Scottsboro,US,75,1574479122,100,34.67,-86.03,60.01,3.33
Marataizes,BR,100,1574479123,95,-21.04,-40.82,71.82,2.44
Sao Luis de Montes Belos,BR,100,1574479125,93,-16.52,-50.37,69.46,2.17
Beloha,MG,26,1574479127,92,-25.17,45.06,68.34,7.07
Touros,BR,40,1574479128,83,-5.2,-35.46,77.0,4.7
Tiksi,RU,100,1574479130,88,71.64,128.87,-19.97,4.27
Warmbad,DE,90,1574479131,93,50.67,13.08,48.99,12.75
Ussel,FR,100,1574479133,90,45.55,2.31,47.26,7.87
Mana,NG,100,1574479135,17,13.03,5.27,78.15,7.94
Cape Town,ZA,75,1574478862,63,-33.93,18.42,63.0,10.29
Perth,AU,0,1574478893,34,-31.95,115.86,84.99,18.34
Quatre Cocos,MU,75,1574479139,83,-20.21,57.76,80.01,1.12
Manokwari,ID,98,1574479141,78,-0.87,134.08,80.38,4.59
Svetlaya,RU,97,1574479143,84,46.54,138.33,38.68,24.7
Hobart,AU,40,1574478903,57,-42.88,147.33,66.2,21.92
Saint-Philippe,CA,1,1574479146,58,45.36,-73.48,30.0,23.04
Lavrentiya,RU,100,1574479149,81,65.58,-170.99,21.0,19.28
Norman Wells,CA,75,1574479151,85,65.28,-126.83,15.8,4.7
Upernavik,GL,100,1574479152,55,72.79,-56.15,13.64,6.13
Kavieng,PG,67,1574479154,75,-2.57,150.8,82.71,14.58
Sinnamary,GF,100,1574479155,83,5.38,-52.96,81.52,16.04
Walvis Bay,NA,0,1574479157,89,-22.95,14.51,57.0,1.01
Gladstone,AU,0,1574479159,48,-23.84,151.26,88.0,14.99
Baykit,RU,97,1574479162,97,61.68,96.39,-15.07,3.22
Bredy,RU,0,1574479164,90,52.43,60.33,10.56,3.85
Nome,US,90,1574479167,87,30.04,-94.42,62.6,10.29
Miandoab,IR,100,1574479168,64,36.97,46.1,35.6,11.41
Haimen,CN,47,1574479170,65,31.87,121.18,71.01,13.22
Jinchang,CN,100,1574479172,41,38.52,102.19,29.3,4.05
Saskylakh,RU,90,1574479173,99,71.97,114.09,-12.55,3.69
Mahebourg,MU,75,1574479175,83,-20.41,57.7,80.01,1.12
Pevek,RU,100,1574479176,96,69.7,170.27,-9.83,7.63
Lagoa,PT,20,1574479178,82,37.14,-8.45,60.01,20.8
Pacific Grove,US,1,1574479180,71,36.62,-121.92,57.99,4.7
Buala,SB,100,1574479181,69,-8.15,159.59,83.89,4.7
Kutum,SD,76,1574479183,25,14.2,24.66,60.08,5.55
Lompoc,US,1,1574478915,71,34.64,-120.46,57.99,4.54
Leh,IN,95,1574479186,87,34.16,77.58,19.74,3.44
Pisco,PE,40,1574479188,82,-13.71,-76.2,68.0,14.99
Kirovskiy,RU,41,1574479189,99,45.09,133.51,41.31,7.9
Kizner,RU,86,1574479191,68,56.27,51.51,16.25,6.71
Calvinia,ZA,52,1574479194,85,-31.47,19.78,46.47,8.05
Chokurdakh,RU,100,1574479196,97,70.62,147.9,-12.42,9.01
Dongsheng,CN,79,1574479197,45,29.72,112.52,69.15,5.91
New Norfolk,AU,54,1574479202,25,-42.78,147.06,66.2,20.8
Lebu,ET,99,1574479204,89,8.96,38.73,54.52,3.18
Lorengau,PG,100,1574479205,77,-2.02,147.27,84.85,15.21
Muhos,FI,90,1574479207,95,64.81,26.0,32.0,5.82
Kuopio,FI,90,1574479209,86,62.89,27.68,30.2,8.05
Kralendijk,BQ,0,1574479210,88,12.15,-68.27,78.8,3.36
Tuatapere,NZ,100,1574479212,89,-46.13,167.69,55.99,4.0
Myitkyina,MM,0,1574479213,46,25.38,97.4,73.4,1.59
Dickinson,US,1,1574478988,59,46.88,-102.79,37.4,21.92
Acapulco,MX,90,1574479138,88,16.86,-99.88,80.6,4.7
Daru,PG,5,1574479220,52,-9.07,143.21,87.03,8.59
Port Lincoln,AU,0,1574479221,54,-34.72,135.86,67.12,11.52
Kiama,AU,100,1574479223,53,-34.67,150.86,75.2,12.75
Cherskiy,RU,98,1574479225,97,68.75,161.3,-23.46,8.57
Boa Vista,BR,40,1574479226,94,2.82,-60.67,73.4,4.7
Batagay,RU,98,1574479228,92,67.65,134.64,-26.28,3.04
Harper,US,1,1574479231,81,30.3,-99.24,48.99,5.82
Nova Olimpia,BR,48,1574479233,71,-14.8,-57.29,75.96,2.42
Kalmunai,LK,58,1574479234,74,7.42,81.82,82.33,7.25
Gorontalo,ID,94,1574479236,62,0.54,123.06,87.15,5.88
Chuy,UY,38,1574479238,79,-33.69,-53.46,62.44,9.89
Nalut,LY,100,1574479239,54,31.86,10.98,57.54,8.72
Severo-Kurilsk,RU,86,1574479241,80,50.68,156.12,26.38,22.41
Bambous Virieux,MU,75,1574479244,83,-20.34,57.76,80.01,1.12
Sungaipenuh,ID,100,1574479246,87,-2.08,101.38,67.32,1.28
Coahuayana,MX,28,1574479247,80,18.62,-100.35,74.53,3.27
Kahului,US,40,1574479202,65,20.89,-156.47,80.6,24.16
Jamame,SO,33,1574479251,80,0.07,42.75,81.99,13.71
Talnakh,RU,75,1574479252,77,69.49,88.39,-0.4,6.71
Weligama,LK,14,1574479254,80,5.97,80.42,79.57,5.17
Benguela,AO,98,1574479256,81,-12.58,13.4,73.78,2.59
Esperance,AU,0,1574479257,33,-33.86,121.89,77.0,5.82
Khatanga,RU,90,1574479259,97,71.98,102.47,-7.17,3.94
Linares,CL,33,1574479261,80,-35.85,-71.6,56.46,2.15
Bredasdorp,ZA,100,1574479262,63,-34.53,20.04,62.6,8.05
Los Llanos de Aridane,ES,0,1574479264,82,28.66,-17.92,66.2,10.16
Lata,IN,100,1574479265,95,30.78,78.62,27.36,6.51
Calabozo,VE,77,1574479267,91,8.92,-67.43,74.26,4.09
Hithadhoo,MV,6,1574479269,74,-0.6,73.08,83.03,7.67
Muravlenko,RU,99,1574479270,94,63.79,74.5,18.39,15.48
Mackay,CA,20,1574479272,42,53.65,-115.58,46.4,6.93
Ancud,CL,99,1574479273,81,-41.87,-73.83,51.8,3.36
Palmer,AU,20,1574479275,59,-34.85,139.16,73.0,10.29
Lugovskoy,RU,90,1574479277,85,56.96,64.53,23.0,8.95
San Cristobal,HN,11,1574479278,88,14.68,-86.92,66.42,3.96
Izazi,TZ,94,1574479280,70,-7.24,35.72,74.57,5.93
Palu,ID,100,1574479281,65,-0.9,119.87,82.4,1.97
Cayenne,GF,20,1574479283,94,4.94,-52.33,75.2,5.68
Saint-Pierre,FR,100,1574479286,93,48.95,4.24,46.0,21.92
Shinpokh,PK,40,1574479288,87,34.33,71.18,55.4,4.7
Yuci,CN,100,1574479064,58,37.68,112.73,50.0,2.24
Ishigaki,JP,40,1574479291,78,24.34,124.16,82.4,8.05
Mujiayingzi,CN,100,1574479293,59,42.12,118.78,38.26,6.71
Yar-Sale,RU,98,1574479296,93,66.83,70.83,11.23,10.07
Riyadh,SA,75,1574479298,62,24.63,46.72,53.6,2.24
Mareeba,AU,3,1574479299,35,-16.99,145.42,91.0,16.11
Dicabisagan,PH,26,1574479301,76,17.08,122.42,82.02,7.67
Vila Velha,BR,40,1574479302,78,-3.71,-38.6,86.0,8.05
Katsuura,JP,40,1574479306,68,33.93,134.5,66.2,11.41
Black River,JM,20,1574479308,74,18.03,-77.85,78.8,6.93
Belawan,ID,23,1574479309,73,-0.59,114.46,84.97,1.48
Naze,NG,94,1574479311,96,5.43,7.07,73.81,2.57
Nenjiang,CN,0,1574479312,76,49.17,125.23,12.99,12.95
Beringovskiy,RU,0,1574479314,77,63.05,179.32,9.66,19.22
Craigieburn,AU,90,1574479316,30,-37.6,144.94,75.99,14.99
Singaraja,ID,0,1574479317,66,-8.11,115.08,83.66,5.17
Faya,SA,75,1574479319,100,18.39,42.45,55.4,2.42
Chimbote,PE,100,1574479320,81,-9.08,-78.59,63.88,5.37
Aksha,RU,100,1574479322,66,50.28,113.29,4.33,14.32
Gat,SN,0,1574479324,49,14.69,-16.54,73.4,4.7
Nemuro,JP,20,1574479325,49,43.32,145.57,48.2,12.75
Georgiyevka,RU,100,1574479330,43,52.25,40.45,18.55,5.39
Carnarvon,ZA,0,1574479332,44,-30.97,22.13,53.62,10.02
Laguna,BZ,20,1574479333,94,16.17,-88.94,75.2,1.34
Le Port,FR,63,1574479339,67,42.87,1.37,55.0,1.01
College,US,90,1574479341,92,64.86,-147.8,28.99,2.55
Ukiah,US,1,1574479343,66,39.15,-123.21,53.6,3.15
Georgetown,GY,75,1574479344,100,6.8,-58.16,75.2,4.7
Sambava,MG,100,1574479346,85,-14.27,50.17,74.66,1.03
Boyuibe,BO,100,1574479349,54,-20.43,-63.28,71.06,2.42
Darayya,SY,0,1574479350,69,33.46,36.24,37.4,4.7
Poya,NC,0,1574479352,75,-21.35,165.16,72.66,25.66
Nelson Bay,AU,75,1574479353,73,-32.72,152.14,75.0,5.1
Moses Lake,US,90,1574479355,92,47.13,-119.28,30.99,0.6
Kamalia,PK,19,1574479357,56,30.73,72.64,62.91,5.82
Geraldton,CA,90,1574479360,85,49.72,-86.95,24.8,11.41
Cidreira,BR,100,1574479361,87,-30.17,-50.22,69.69,8.28
Namibe,AO,22,1574479363,77,-15.19,12.15,69.39,14.45
Puerto Leguizamo,CO,100,1574479365,85,-0.19,-74.78,75.38,3.29
Ninghai,CN,75,1574479366,93,29.29,121.42,70.0,2.24
Salalah,OM,0,1574479368,40,17.01,54.1,73.4,12.75
Am Timan,TD,100,1574479370,27,11.04,20.28,69.67,4.76
Dharchula,IN,100,1574479371,44,29.85,80.53,49.8,2.19
Biak,ID,25,1574479373,70,-0.91,122.88,82.22,2.95
Luderitz,NA,0,1574479374,85,-26.65,15.16,58.21,17.69
Saint-Ambroise,CA,90,1574479376,85,48.56,-71.32,25.0,32.21
Vestmanna,FO,100,1574479378,87,62.16,-7.17,46.4,13.87
Penzance,GB,100,1574479382,93,50.12,-5.53,50.0,6.93
Narsaq,GL,100,1574479384,49,60.91,-46.05,24.8,4.7
Businga,CD,89,1574479386,99,3.34,20.89,68.38,2.35
Hilo,US,40,1574479387,78,19.71,-155.08,78.8,8.61
Kaitangata,NZ,100,1574479389,84,-46.28,169.85,51.53,19.15
Bud,NO,84,1574479391,65,62.91,6.91,44.6,10.29
Berdigestyakh,RU,74,1574479392,94,62.1,126.7,-18.69,4.61
Vao,EE,98,1574479394,42,59.1,26.19,27.66,8.16
Hollola,FI,95,1574479396,91,60.99,25.5,30.99,7.0
Kaeo,NZ,0,1574479397,64,-35.1,173.78,81.0,10.8
Aitape,PG,100,1574479399,77,-3.15,142.36,84.76,15.17
Seoul,KR,100,1574479016,54,37.57,126.98,60.8,6.93
Krasnyy Yar,RU,0,1574479402,42,50.7,44.73,16.84,6.22
East London,ZA,27,1574479404,82,-33.02,27.91,64.83,6.06
Luena,AO,100,1574479405,97,-11.78,19.91,62.01,2.95
Port Hardy,CA,90,1574479409,100,50.7,-127.42,44.6,12.75
Kramat,ID,100,1574479410,42,-7.04,112.64,93.18,5.57
Sitka,US,100,1574479412,92,37.17,-99.65,30.0,3.78
Ampanihy,MG,71,1574479413,89,-24.69,44.75,70.16,7.36
El Vigia,MX,5,1574479415,63,26.85,-109.72,66.2,4.7
Paternion,AT,75,1574479417,93,46.71,13.64,44.01,1.12
Saldanha,PT,82,1574479418,86,41.42,-6.55,41.4,15.17
Waipawa,NZ,66,1574479421,56,-39.94,176.59,72.0,8.01
Saint George,GR,20,1574479425,93,39.45,22.34,48.2,1.7
Skelleftea,SE,93,1574479426,93,64.75,20.95,35.6,6.93
Sfantu Gheorghe,RO,90,1574479428,65,44.65,26.83,32.0,11.41
Gigmoto,PH,86,1574479430,74,13.78,124.39,83.46,7.65
Chamrajnagar,IN,20,1574479433,78,11.92,76.95,75.2,8.05
Guerrero Negro,MX,69,1574479434,64,27.97,-114.04,63.88,10.51
Sohag,EG,0,1574479438,44,26.55,31.7,57.2,11.41
Gazanjyk,TM,100,1574479439,81,39.24,55.52,26.53,2.57
Osoyoos,CA,1,1574479441,80,49.03,-119.47,39.2,3.36
Burgeo,CA,100,1574479443,79,47.61,-57.61,39.76,9.73
Mnogovershinnyy,RU,72,1574479444,88,53.94,139.92,27.95,12.39
Raudeberg,NO,100,1574479446,75,61.99,5.14,46.99,11.41
Qaqortoq,GL,100,1574479448,49,60.72,-46.03,24.8,4.7
Loviisa,FI,76,1574479449,79,60.46,26.23,33.01,10.29
Alice Springs,AU,0,1574479206,8,-23.7,133.88,89.6,14.99
Agirish,RU,100,1574479452,94,61.92,63.02,23.68,10.07
Dwarka,IN,75,1574479454,72,28.58,77.04,62.6,5.82
Inta,RU,99,1574479456,97,66.04,60.13,25.97,5.66
Ballina,IE,81,1574479457,95,54.11,-9.15,46.0,3.0
Thomasville,US,90,1574479212,81,35.88,-80.08,55.0,4.27
Kodiak,US,90,1574479460,74,39.95,-94.76,34.0,13.87
Hanting,CN,0,1574479465,56,30.92,118.55,72.37,1.88
Nuuk,GL,100,1574479467,74,64.17,-51.74,28.4,4.7
Ostrovnoy,RU,100,1574479468,95,68.05,39.51,22.69,7.81
Bubaque,GW,0,1574479470,64,11.28,-15.83,83.26,13.18
Victoria,BN,75,1574479332,74,5.28,115.24,86.0,5.82
Isangel,VU,62,1574479473,47,-19.55,169.27,80.6,20.8
Vanimo,PG,82,1574479475,78,-2.67,141.3,84.16,19.89
Zhigansk,RU,100,1574479476,96,66.77,123.37,-21.82,8.61
Prince George,CA,90,1574479478,60,53.92,-122.75,41.0,17.22
Paamiut,GL,100,1574479480,59,61.99,-49.67,31.32,8.46
Mersing,MY,100,1574479481,86,2.43,103.84,78.84,11.61
Voyinka,UA,100,1574479483,79,45.87,33.99,36.21,24.87
Kreminna,UA,6,1574479486,38,49.05,38.22,19.67,13.96
Teruel,ES,96,1574479489,71,40.34,-1.11,50.0,5.82
Villa Guerrero,MX,15,1574479493,65,21.98,-103.59,63.09,3.06
Nikolskoye,RU,46,1574479494,67,59.7,30.79,21.0,4.47
Upata,VE,23,1574479498,92,8.02,-62.41,70.61,2.37
Cabedelo,BR,20,1574479499,83,-6.97,-34.84,77.0,5.82
Namatanai,PG,39,1574479501,65,-3.66,152.44,85.24,5.06
Tautira,PF,75,1574479504,83,-17.73,-149.15,78.8,24.16
Verkh-Usugli,RU,0,1574479506,43,52.7,115.17,2.44,6.06
Aljezur,PT,55,1574479507,82,37.31,-8.8,60.01,11.01
Mount Isa,AU,0,1574479509,19,-20.73,139.49,96.8,5.82
Rundu,NA,100,1574479510,79,-17.91,19.77,69.44,3.36
Airai,TL,49,1574479512,21,-8.93,125.41,89.08,7.78
Te Anau,NZ,100,1574479514,95,-45.41,167.72,54.0,2.59
Otradnoye,RU,45,1574479515,67,59.77,30.8,21.0,4.47
Yangambi,CD,100,1574479517,98,0.77,24.47,66.78,3.51
Hay River,CA,90,1574479518,80,60.82,-115.79,35.6,8.05
Ambilobe,MG,96,1574479520,79,-13.19,49.05,78.96,6.67
Zirc,HU,40,1574479522,87,47.26,17.87,42.8,2.24
Aksu,KZ,79,1574479525,76,52.04,76.93,-5.8,8.95
Yeniseysk,RU,100,1574479526,92,58.45,92.17,3.9,9.06
Puri,ID,88,1574479528,37,-7.54,112.45,94.62,3.6
Takoradi,GH,29,1574479530,83,4.89,-1.75,80.24,5.06
Bonavista,CA,88,1574479531,85,48.65,-53.11,36.0,15.99
Simbahan,PH,83,1574479533,71,6.3,120.58,82.71,2.42
Cap Malheureux,MU,75,1574479536,83,-19.98,57.61,80.01,1.12
Sovetskaya,RU,0,1574479537,9,44.78,41.17,17.01,24.0
Bambanglipuro,ID,18,1574479539,50,-7.95,110.28,89.87,5.5
Oxford,US,90,1574479358,93,33.61,-85.83,63.0,3.85
Samarai,PG,28,1574479542,60,-10.62,150.67,82.13,13.24
Staryy Nadym,RU,95,1574479544,92,65.61,72.68,18.91,11.21
Kuching,MY,75,1574479545,70,1.56,110.34,87.01,2.24
Berlevag,NO,88,1574479547,81,70.86,29.09,34.03,14.0
Urucara,BR,93,1574479497,93,-2.54,-57.76,74.88,1.86
Kota Belud,MY,75,1574479550,74,6.35,116.43,87.8,6.93
Kara,TG,33,1574479552,56,9.55,1.2,77.65,2.68
Slave Lake,CA,75,1574479553,49,55.28,-114.77,48.2,19.46
Puerto Asis,CO,23,1574479555,88,0.51,-76.5,72.91,1.83
Ayan,IR,88,1574479556,94,38.23,44.7,22.08,1.3
Fairbanks,US,90,1574479558,92,64.84,-147.72,28.99,1.59
Dunedin,NZ,100,1574479375,85,-45.87,170.5,52.0,21.0
Zyryanka,RU,95,1574479561,97,65.73,150.89,-15.18,6.04
Barentu,ER,0,1574479563,74,15.11,37.59,70.56,3.4
Talas,KG,60,1574479564,84,42.52,72.24,25.63,1.19
Alekseyevsk,RU,100,1574479566,89,57.84,108.35,-2.78,9.24
Ruangwa,TZ,65,1574479568,98,-10.07,38.93,71.35,2.82
Nalvo,PH,0,1574479569,62,16.81,120.51,84.0,5.03
Iqaluit,CA,90,1574479571,92,63.75,-68.52,28.4,10.29
Samana,EC,0,1574479572,82,0.12,-76.97,74.5,3.71
Yingcheng,CN,80,1574479576,63,30.93,113.57,62.6,4.47
Torbay,CA,90,1574479577,100,47.66,-52.73,37.0,23.04
Moba,CD,100,1574479579,74,-7.04,29.77,75.99,17.9
Semnan,IR,40,1574479581,93,35.58,53.39,39.2,6.93
Makakilo City,US,90,1574479584,73,21.35,-158.09,80.6,3.36
Howard Springs,AU,59,1574479587,44,-12.5,131.05,100.0,9.17
Mehamn,NO,80,1574479589,78,71.03,27.85,26.4,4.56
Maragogi,BR,53,1574479590,76,-9.01,-35.22,78.42,14.36
Camacha,PT,75,1574479592,88,33.08,-16.33,69.8,18.34
Kitimat,CA,75,1574479597,100,54.02,-128.69,42.8,4.7
Harnai,PK,0,1574479598,68,30.1,67.94,56.05,1.43
Cabo San Lucas,MX,5,1574479600,82,22.89,-109.91,73.0,10.29
Matay,EG,0,1574479601,68,28.42,30.79,53.49,4.47
Hamilton,CA,40,1574479566,68,43.26,-79.87,34.0,11.41
Tabuk,PH,49,1574479605,76,17.41,121.44,82.31,2.46
Aberystwyth,GB,100,1574479606,97,52.41,-4.08,45.0,3.0
Santa Isabel do Rio Negro,BR,100,1574479608,97,-0.41,-65.02,73.18,2.59
Saint-Francois,FR,100,1574479610,54,46.42,3.91,59.0,17.22
Bondo,CD,83,1574479611,99,3.81,23.69,67.3,1.95
Serenje,ZM,68,1574479613,85,-13.23,30.22,65.01,2.44
Portland,US,1,1574479537,59,43.66,-70.25,36.0,10.29
Ribeira Grande,PT,79,1574479616,86,38.52,-28.7,63.05,16.4
Tadine,NC,70,1574479618,56,-21.55,167.88,76.32,15.79
Pachino,IT,33,1574479619,93,36.72,15.09,53.01,3.36
Kachiry,KZ,51,1574479621,90,53.07,76.1,0.05,8.63
Barreirinhas,BR,100,1574479622,87,-2.75,-42.83,75.0,3.67
Letterkenny,IE,100,1574479624,95,54.95,-7.73,44.4,10.33
Dothan,US,1,1574479595,82,31.22,-85.39,64.99,4.34
Marsa Matruh,EG,20,1574479627,87,31.35,27.25,57.2,5.37
Kungurtug,RU,100,1574479629,88,50.6,97.53,-4.9,0.94
Banjarmasin,ID,0,1574479631,57,-3.32,114.59,89.94,4.21
Hovd,NO,40,1574479632,80,63.83,10.7,45.0,9.17
Rudnogorsk,RU,99,1574479635,86,57.27,103.75,-4.76,8.34
Lingao,CN,0,1574479638,70,19.91,109.69,74.55,6.8
Eureka,US,40,1574479640,93,40.8,-124.16,46.99,4.7
Seattle,US,40,1574479288,86,47.6,-122.33,42.01,2.48
Gimli,CA,0,1574479643,88,50.63,-96.99,28.99,7.0
Bahia Blanca,AR,100,1574479644,38,-38.72,-62.27,51.93,10.49
Karangampel,ID,28,1574479646,61,-6.46,108.44,86.11,10.51
Aklavik,CA,90,1574479648,84,68.22,-135.01,-0.4,2.24
Mawlaik,MM,0,1574479649,63,23.63,94.42,75.78,1.34
Uige,AO,100,1574479652,99,-7.61,15.06,66.51,2.13
Alihe,CN,37,1574479654,69,50.57,123.73,8.01,12.68
Soyo,AO,100,1574479656,87,-6.13,12.37,75.43,4.63
Burgersdorp,ZA,0,1574479657,75,-30.99,26.32,49.93,1.54
Vila,IT,75,1574479659,100,45.18,8.4,50.0,8.05
Lobito,AO,98,1574479660,81,-12.35,13.55,73.78,2.59
Sri Aman,MY,75,1574479662,70,1.24,111.46,87.8,2.24
Vanavara,RU,100,1574479664,93,60.35,102.28,-9.8,9.51
Mbandaka,CD,100,1574479665,99,0.05,18.26,70.5,1.59
Oistins,BB,20,1574479667,94,13.07,-59.53,75.2,4.7
Tobol,SE,100,1574479670,100,59.83,12.54,41.0,3.36
Kudahuvadhoo,MV,3,1574479671,75,2.67,72.89,83.41,10.07
Hirara,JP,75,1574479673,88,24.8,125.28,78.8,9.17
Solwezi,ZM,100,1574479674,97,-12.18,26.4,61.63,2.28
Lukovetskiy,RU,90,1574479676,96,64.29,41.92,32.0,6.71
Komsomolskiy,RU,99,1574479678,96,67.55,63.78,22.08,6.58
Bastia,IT,75,1574479679,93,44.6,8.98,57.0,5.82
Atambua,ID,10,1574479682,59,-9.11,124.89,85.82,7.61
Florence,US,90,1574479686,100,34.2,-79.77,55.0,5.14
Kedougou,SN,0,1574479687,57,12.56,-12.19,75.2,4.7
Mindelo,PT,75,1574479689,81,41.31,-8.72,55.99,14.99
Beberibe,BR,40,1574479691,78,-4.18,-38.13,86.0,8.05
Kirensk,RU,100,1574479692,89,57.78,108.12,-3.35,8.52
Virginia Beach,US,75,1574479643,71,36.85,-75.98,55.4,6.93
Lakes Entrance,AU,0,1574479696,50,-37.88,147.99,77.0,8.01
Den Helder,NL,90,1574479552,86,52.96,4.76,42.01,12.75
Kununurra,AU,100,1574479699,25,-15.77,128.74,98.6,5.82
Egvekinot,RU,0,1574479701,75,66.32,-179.17,-4.23,11.21
Fortuna,US,90,1574479702,93,40.6,-124.16,46.99,4.7
Ugoofaaru,MV,100,1574479704,77,5.67,73.0,82.99,14.9
Mut,TR,3,1574479706,66,36.64,33.44,46.38,1.14
Sur,OM,10,1574479707,62,22.57,59.53,72.46,12.3
Albacete,ES,40,1574479505,93,39.0,-1.86,44.6,25.28
Clarksburg,US,1,1574479581,74,39.24,-77.28,43.0,9.89
Bowen,AU,0,1574479712,40,-20.01,148.25,86.0,13.87
